,index,lprice,oprice,sprice,grid,subsect,taxes,taxyr,lotsize,primsch,intsch,highsch,agent,floodp,waterf,age,stories,floor,style,firepl,basemt,pool,garage,allrms,beds,baths,lrarea,drarea,kitarea,famarea,den,study,masarea,secarea,area3,area4,area5,range,dwasher,washer,secsys,micro,rtop,disposal,dryer,freezer,compact,walloven,refrig,patio,deck,fence,fuel,ac,heat,hwater,water,sewer,unknown,amps,assvalue,cfee,golf,culdesac,unrate,greenmm,gatemm,lotsizef,own,gate,green,invgate,linvgate,invgate2,loglp,logsp,loglot,logage,logbeds,logbaths,logdra,logkita,logstor,lograte,sdate,time.months,logtime,primf,stylef,noappl,logappl,basemtf,nobase,gar12,ldate,exdate,setdate,listp,expdays,tom,expper,invexp,logiexp,tomper,rellp,reltom,longlp,shortlp,longtom,shorttom,tomrlp,tomlp,pdisc,logpdisc,lpsp
17,762900,169900,176800,164500,E19,R,2703,91,9375,3,3,3,1,2,0,21,2,NA,1,1,1,0,2,10,4,2.5,220,144,117,253,0,0,182,150,160,120,0,NA,1,0,0,0,NA,1,0,0,0,NA,0,1,1,0,1,1,2,1,1,1,1,NA,104800,0,0,1,7.5,12,162,house,house,0.48317715,0.0357909,2.069634295,0.727371922,4.283386113,12.04296531,12.01066585,9.145801851,3.044522438,1.386294361,0.916290732,4.9698133,4.762173935,0.693147181,2.014903021,03/12/1992,9.266666667,2.226423732,3,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,10/10/1992,28/02/1993,28/01/1993,141,87,54,0.617021277,0.011481056,-4.467056884,0.382978723,0.783333333,68.93617021,0.783333333,0.216666667,42.3,11.7,42.3,7614,0.032826748,-2.018709649,1.032826748
18,763619,95900,97900,90000,E20,EP,2000,91,0,2,1,1,1,0,0,3,1,NA,6,1,0,0,1,4,2,2,255,80,72,0,0,0,192,126,0,0,0,2,1,1,1,1,NA,1,1,0,0,NA,1,0,0,1,0,1,2,1,1,1,1,NA,73600,120,0,0,7,9,20,con,con,0.0596515,0.026843175,16.76403779,2.819235984,281.0329629,11.47106126,11.40756495,#NAME?,1.098612289,0.693147181,0.693147181,4.382026635,4.276666119,0,1.945910149,08/02/1993,11.5,2.442347035,2,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,08/10/1992,30/04/1993,29/03/1993,204,81,123,0.397058824,0.012330456,-4.395682961,0.602941176,1.133333333,108.5294118,1,0,123,0,139.4,25092,0.065555556,-1.798448457,1.065555556
19,766024,209900,224900,195000,E20,PO,3546,91,15252,5,5,1,4,2,0,19,2,NA,1,1,1,0,2,8,4,2.5,260,144,204,273,0,0,240,144,156,208,0,1,1,0,0,NA,NA,1,0,0,0,NA,0,0,0,0,0,1,2,1,1,1,1,NA,137500,0,1,1,7.3,1,58,house,house,0.17298935,0.002982575,5.780702685,1.754525247,33.41652353,12.25438651,12.18075484,9.632465921,2.944438979,1.386294361,0.916290732,4.9698133,5.318119994,0.693147181,1.987874348,16/03/1993,12.7,2.541601993,other,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,29/10/1992,30/06/1993,27/05/1993,244,106,138,0.43442623,0.009425071,-4.664382046,0.56557377,1.355555556,101.8032787,1,0,138,0,187.0666667,33672,0.076410256,-1.734942994,1.076410256
20,766124,86900,93900,84500,E20,R,1890,91,0,2,2,1,8,2,0,6,1,1,6,1,0,0,0,6,3,2,286,72,90,0,0,0,165,132,108,0,0,2,1,1,0,0,2,1,1,0,0,0,1,0,0,1,0,2,2,2,2,1,1,NA,73300,68,1,0,7.3,7,12,con,con,0.0357909,0.020878025,27.94006298,3.330061608,780.6471192,11.37251331,11.34450681,#NAME?,1.791759469,1.098612289,0.693147181,4.276666119,4.49980967,0,1.987874348,05/04/1993,13.36666667,2.592764046,2,condos,9,2.219203484,fullbase,FALSE,TRUE,01/11/1992,28/05/1993,28/05/1993,208,53,155,0.254807692,0.018832392,-3.972176928,0.745192308,1.155555556,134.1346154,1,0,155,0,179.1111111,32240,0.028402367,-2.052586454,1.028402367
21,766462,149900,149900,145000,E20,R,2547,91,10000,3,2,1,4,0,0,21,1,NA,2,1,1,0,2,7,3,2,240,121,143,300,0,0,300,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,NA,100700,0,0,0,6.8,13,116,house,house,0.3459787,0.038773475,2.890351342,1.061378067,8.354130883,11.91772368,11.88448902,9.210340372,3.044522438,1.098612289,0.693147181,4.795790546,4.96284463,0,1.916922612,04/11/1992,8.3,2.116255515,3,ostyles,0,-1.609437912,partbase,FALSE,FALSE,02/11/1992,31/12/1993,13/11/1992,424,422,2,0.995283019,0.002369107,-6.045242253,0.004716981,2.355555556,0.849056604,1,0,2,0,4.711111111,848,0.033793103,-2.011460676,1.033793103
22,767345,189900,189900,180000,E20,PO,3100,91,10625,2,1,1,5,0,0,23,2,NA,1,1,1,0,2,9,5,2.5,264,156,234,270,0,0,240,130,110,144,195,2,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,NA,120200,0,1,0,7,10,67,house,house,0.199832525,0.02982575,5.004190384,1.610275638,25.0419214,12.1542529,12.10071213,9.270964994,3.135494216,1.609437912,0.916290732,5.049856007,5.455321115,0.693147181,1.945910149,16/02/1993,11.76666667,2.465270675,2,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,10/11/1992,15/03/1993,26/03/1993,125,27,98,0.216,0.036900369,-3.299533728,0.784,0.694444444,141.12,0.694444444,0.305555556,68.05555556,29.94444444,68.05555556,12250,0.055,-1.864330162,1.055
23,771663,207500,219900,195000,E20,HOG,3800,93,10875,3,3,3,1,1,0,3,2,NA,1,1,1,0,2,10,4,2.5,221,154,NA,285,0,0,420,208,168,168,0,2,1,0,0,0,2,0,0,0,0,NA,1,0,0,1,0,1,2,1,1,1,1,NA,142100,0,0,0,7.3,15,113,house,house,0.337030975,0.044738625,2.967086334,1.087580439,8.803601312,12.24288662,12.18075484,9.294221856,1.098612289,1.386294361,0.916290732,5.036952602,NA,0.693147181,1.987874348,22/03/1993,12.9,2.557227311,3,colonial,-0.1,-2.302585093,partbase,FALSE,FALSE,03/01/1993,03/06/1993,15/07/1993,151,73,78,0.483443709,0.013679891,-4.291828367,0.516556291,0.838888889,92.98013245,0.838888889,0.161111111,65.43333333,12.56666667,65.43333333,11778,0.064102564,-1.807263656,1.064102564
24,773614,159900,162900,156300,E20,R,2398,91,9375,2,2,1,8,0,0,28,2,2,1,1,1,0,1,8,4,2.5,242,132,234,204,0,0,168,132,99,99,0,2,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,2,1,1,1,1,NA,93000,0,0,1,7.3,27,168,house,house,0.5010726,0.080529525,1.995718784,0.691004278,3.982893465,11.9823039,11.95953252,9.145801851,3.33220451,1.386294361,0.916290732,4.882801923,5.455321115,0.693147181,1.987874348,17/05/1993,14.76666667,2.692372388,2,colonial,6,1.824549292,partbase,FALSE,TRUE,18/01/1993,18/07/1993,30/07/1993,181,62,119,0.342541436,0.01610306,-4.128745989,0.657458564,1.005555556,118.3425414,1,0,119,0,119.6611111,21539,0.02303263,-2.095305678,1.02303263
25,775382,138500,144500,135500,E20,INF,2312,91,5520,3,3,1,6,2,0,11,2,NA,4,1,1,0,1,5,2,2.5,322,NA,120,322,0,0,294,168,0,0,0,2,1,0,0,0,NA,1,0,0,0,NA,0,0,0,0,0,2,2,2,2,1,1,150,91600,0,1,0,6.7,44,99,house,house,0.295274925,0.1312333,3.3866743,1.219848407,11.46956282,11.8386256,11.81672692,8.616133139,2.397895273,0.693147181,0.916290732,NA,4.787491743,0.693147181,1.902107526,14/04/1993,13.66666667,2.614959778,3,condos,-0.1,-2.302585093,partbase,FALSE,TRUE,27/01/1993,30/06/1993,15/06/1993,154,77,77,0.5,0.012970169,-4.345103281,0.5,0.855555556,90,0.855555556,0.144444444,65.87777778,11.12222222,65.87777778,11858,0.022140221,-2.102585538,1.022140221
26,775734,178000,180000,175000,E20,RH,3081,92,19375,2,4,1,6,2,0,28,2,2,1,1,1,0,2,8,4,2.5,260,144,216,272,0,0,224,154,121,110,0,2,1,0,0,0,2,1,0,0,0,2,1,0,1,0,1,1,2,1,1,1,1,100,116100,0,0,0,6.7,5,41,house,house,0.122285575,0.014912875,8.177579408,2.101396191,66.87280497,12.08953883,12.07254125,9.871738854,3.33220451,1.386294361,0.916290732,4.9698133,5.375278408,0.693147181,1.902107526,06/05/1993,14.4,2.667228207,2,colonial,9,2.219203484,partbase,FALSE,FALSE,31/01/1993,30/06/1993,11/06/1993,150,55,95,0.366666667,0.01814882,-4.009149716,0.633333333,0.833333333,114,0.833333333,0.166666667,79.16666667,15.83333333,79.16666667,14250,0.017142857,-2.144361088,1.017142857
27,776010,85900,87900,83000,E20,R,1833,92,0,3,3,1,6,2,0,5,1,1,5,1,0,1,0,5,2,2,221,72,88,0,0,0,180,132,0,0,0,2,1,1,0,0,NA,1,1,0,0,NA,1,0,1,1,0,2,2,2,2,1,1,100,69100,62,0,0,6.7,15,21,con,con,0.062634075,0.044738625,15.96575027,2.77044582,254.9051818,11.36093911,11.32659589,#NAME?,1.609437912,0.693147181,0.693147181,4.276666119,4.477336814,0,1.902107526,24/04/1993,14,2.63905733,3,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,01/02/1993,31/08/1993,30/06/1993,211,129,82,0.611374408,0.007745933,-4.860587298,0.388625592,1.172222222,69.95260664,1,0,82,0,96.12222222,17302,0.034939759,-2.002926829,1.034939759
28,776988,72900,79900,68000,E20,BIR,1511,91,0,2,2,1,6,2,0,11,1,1,6,0,0,0,0,6,2,2.5,NA,NA,NA,0,0,0,NA,NA,0,0,0,2,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,2,2,2,2,1,1,NA,58600,86,0,0,5.3,NA,NA,con,con,NA,NA,NA,NA,NA,11.19684392,11.12726298,#NAME?,2.397895273,0.693147181,0.916290732,NA,NA,0,1.667706821,07/10/1993,19.53333333,2.972122408,2,condos,9,2.219203484,fullbase,FALSE,TRUE,10/02/1993,14/11/1993,17/12/1993,277,38,239,0.137184116,0.026246719,-3.640214282,0.862815884,1.538888889,155.3068592,1,0,239,0,367.7944444,66203,0.072058824,-1.759918863,1.072058824
29,778458,112900,115900,101000,E19,BIR,2099,92,1250,2,1,1,2,2,1,15,2,2,4,1,0,0,0,6,3,2.5,168,120,120,192,0,0,168,132,132,0,0,2,1,0,0,0,NA,1,0,0,0,NA,0,0,0,1,0,2,1,2,2,1,1,NA,79600,70,0,0,7.2,NA,NA,house,house,NA,NA,NA,NA,NA,11.63425775,11.5228758,7.13089883,2.708050201,1.098612289,0.916290732,4.787491743,4.787491743,0.693147181,1.974081026,10/07/1993,16.56666667,2.807392644,2,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,20/02/1993,30/08/1993,27/08/1993,191,51,140,0.267015707,0.019569472,-3.933784497,0.732984293,1.061111111,131.9371728,1,0,140,0,148.5555556,26740,0.117821782,-1.524078063,1.117821782
30,778533,149900,149900,140000,E19,R,2592,92,11250,3,3,1,1,2,0,25,2,2,1,1,2,0,2,8,4,2.5,240,144,120,132,0,0,196,130,160,170,0,2,1,1,0,0,2,1,1,0,0,2,1,0,1,0,1,1,2,1,1,1,1,NA,97700,0,0,0,7,22,168,house,house,0.5010726,0.06561665,1.995718784,0.691004278,3.982893465,11.91772368,11.8493977,9.328123408,3.218875825,1.386294361,0.916290732,4.9698133,4.787491743,0.693147181,1.945910149,05/03/1993,12.33333333,2.512305624,3,colonial,11,2.415913778,nobase,TRUE,FALSE,22/02/1993,23/08/1993,30/04/1993,182,171,11,0.93956044,0.005844535,-5.142248181,0.06043956,1.011111111,10.87912088,1,0,11,0,11.12222222,2002,0.070714286,-1.767763964,1.070714286
31,779257,179900,189900,167500,E20,PO,3271,92,9375,2,2,1,8,2,0,25,2,2,1,1,1,0,2,9,4,2.5,247,132,192,315,0,0,228,180,144,132,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,0,1,2,1,1,1,1,NA,123300,0,1,0,7.2,1,40,house,house,0.119303,0.002982575,8.382018893,2.126088804,70.25824072,12.10015642,12.02873863,9.145801851,3.218875825,1.386294361,0.916290732,4.882801923,5.257495372,0.693147181,1.974081026,25/06/1993,16.06666667,2.776746732,2,colonial,9,2.219203484,partbase,FALSE,FALSE,26/02/1993,26/08/1993,31/08/1993,181,62,119,0.342541436,0.01610306,-4.128745989,0.657458564,1.005555556,118.3425414,1,0,119,0,119.6611111,21539,0.074029851,-1.748528438,1.074029851
32,780445,63900,68425,60000,E20,R,1539,92,0,5,5,5,3,2,0,8,1,NA,5,1,0,0,0,4,1,1,221,72,88,0,0,0,156,0,0,0,0,2,1,1,0,0,NA,1,1,0,0,NA,1,0,1,0,0,2,2,2,NA,1,1,NA,68500,55,0,0,6.7,20,51,con,con,0.152111325,0.0596515,6.574132465,1.883142625,43.21921767,11.06507464,11.00209984,#NAME?,2.079441542,0,0,4.276666119,4.477336814,0,1.902107526,04/06/1993,15.36666667,2.732200661,other,condos,-0.1,-2.302585093,fullbase,FALSE,TRUE,05/03/1993,30/06/1993,18/06/1993,117,26,91,0.222222222,0.038314176,-3.261935314,0.777777778,0.65,140,0.65,0.35,59.15,31.85,59.15,10647,0.065,-1.801809805,1.065
33,781116,69900,69900,67500,E20,R,1512,92,0,2,2,1,8,2,0,9,1,NA,5,1,0,0,0,4,1,1,221,72,NA,0,0,0,144,0,0,0,0,2,1,1,0,0,2,1,1,0,0,0,1,0,1,0,0,2,2,2,2,1,1,NA,57200,55,0,0,7.3,27,51,con,con,0.152111325,0.080529525,6.574132465,1.883142625,43.21921767,11.15482093,11.11988288,#NAME?,2.197224577,0,0,4.276666119,NA,0,1.987874348,26/05/1993,15.06666667,2.712484798,2,condos,9,2.219203484,fullbase,FALSE,TRUE,10/03/1993,10/09/1993,02/07/1993,184,107,77,0.581521739,0.009337068,-4.673762977,0.418478261,1.022222222,75.32608696,1,0,77,0,78.71111111,14168,0.035555556,-1.998373719,1.035555556
